"trial_id","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","participant_number","success","raw_payload","placements","dissimilarity_vector","n_words","trial_category","distance_matrix","value"
"consent_form","2160","
    <div style=""max-width:800px; margin:0 auto; text-align:left; font-size: 16px; padding: 10px 0;"">
      <h1>Informed Consent Form</h1>
      <p>You are being invited to participate in a research study titled <strong>""Reproducibility of Psychological Science and Instruction.""</strong> This study is being done by Dr. Bria Long from UC San Diego and associated graduate students in the Experimental Methods course. You were selected to participate in this study because you are an adult in the U.S. and have been a represented population in previous psychology studies.</p>
      
      <p>The purpose of this study is to better understand how well previously published studies in the psychological field replicate online and with different populations. Your participation in this research should last approximately <strong>5-30 minutes</strong>. If you agree to take part in this study, you may be asked to view a set of stimuli, including pictures, sounds, written text, or videos and then giving some responses via key-presses, verbally, or with paper-and-pencil. We may also observe your choices or preferences among an array of stimuli. These stimuli will be taken directly from or closely adapted from studies that already exist in the published psychological literature. Stimuli will include, e.g., pictures of objects and human faces, audio and video clips, short text passages, etc. None of the stimuli will be disturbing, threatening, or offensive. The online and in-person experiments described in this protocol will take no more than 30 minutes. An example game you might play would be to click on an image on the screen that matches a word you hear being said out loud. Your total expected time commitment for this study is between 5-30 minutes, and is specified in the study description.</p>
      
      <p>Your participation in this study is completely voluntary and you can withdraw at any time. Choosing not to participate or withdrawing will result in no penalty or loss of benefits to which you are entitled. You are free to skip any question that you choose.</p>
      
      <p>We will not be asking for any personally identifying information, and we will handle responses as confidentially as possible. Your SONA or Prolific IDs will never be tied to your responses on this survey. However, we cannot guarantee the confidentiality of information transmitted over the Internet. To minimize this risk, data containing anything that might be personally identifying (e.g. Prolific IDs or IP addresses) will be encrypted on transfer and storage and will only be accessible to qualified lab personnel. We will be keeping data collected as part of this experiment indefinitely. This anonymized data (containing neither Prolific IDs nor IP addresses) may be shared with the scientific community or with other participants to be used as stimuli in future studies.</p>
      
      <p>If you have questions about this project or if you have a research-related problem, you may contact the researcher(s), <strong>Dr. Bria Long, <a href=""mailto:brlong@ucsd.edu"">brlong@ucsd.edu</a></strong>. If you have any questions concerning your rights as a research subject, you may contact the UC San Diego Office of IRB Administration at <a href=""mailto:irb@ucsd.edu"">irb@ucsd.edu</a> or 858-246-4777.</p>
      
      <h3 style=""margin-top: 25px;"">Consent Statement</h3>
      <p style=""font-weight: bold;"">By participating in this research you are indicating that you are at least 18 years old, have read this consent form, and agree to participate in this research study. Please keep this consent form for your records.</p>
    </div>
  ","0","html-button-response","0","2.1.0","2162","mhpnw37d0g_fcfiya","","","","","","","",""
"","39167","","{""participant_date"":""11/26/2025"",""participant_time"":""12:40 PM""}","survey-html-form","1","2.1.0","41331","mhpnw37d0g_fcfiya","","","","","","","",""
"","1822","
    <div style=""display:flex; align-items:center; justify-content:center; height:100vh; font-family:sans-serif;"">
      <div style=""max-width:900px; margin:0 auto; text-align:center;"">
        <h1 style= ""font-size: 24px;"">Welcome! Thank you for participating in the study.</h1>
        <h2 style= ""font-size: 22px;"">The study will be in Madarin Chinese.</h2>
        <h2 style= ""font-size: 22px;"">Please use desktop computers or laptops for the study. Tablets and phones are not allowed.</h2>
        <p style=""font-size:16px; margin-top:30px;""><em>Press any key to continue.</em></p>
      </div>
    </div>
  "," ","html-keyboard-response","2","2.1.0","43155","mhpnw37d0g_fcfiya","","","","","","","",""
"","687","
    <div style=""display:flex; align-items:center; justify-content:center; height:100vh; font-family:sans-serif;"">
      <div style=""max-width:900px; margin:0 auto; text-align:center;"">
        <p style=""font-size:18px; line-height:1.6;"">
          In this task, you will be presented with <strong>90 words</strong> arranged <strong>outside a circle</strong>.<br>
          Your job is to <strong>drag these words into the circle</strong> and <strong>rearrange them</strong> based on their <strong>meaning similarity</strong>.<br><br>
          Words that are <strong>similar in meaning</strong> should be placed <strong>closer together</strong>.<br>
          Words that are <strong>different in meaning</strong> should be placed <strong>farther apart</strong>.<br><br>
          You can place the words <strong>anywhere inside the circle</strong>. There is no single correct answer — 
          we are interested in <strong>your personal judgment</strong> of how these words relate to each other.<br><br>
          <strong>You must move all words into the circle before you can finish.</strong><br>
          After the initial arrangement, you will arrange words from specific categories.
        </p>
        <p style=""font-size:16px; margin-top:30px;""><em>Press any key to continue.</em></p>
      </div>
    </div>
  "," ","html-keyboard-response","3","2.1.0","43843","mhpnw37d0g_fcfiya","","","","","","","",""
